s_m110_ab 	 0.595 	 0.878 	 0.283 
s_m110_abz 	 0.625 	 0.947 	 0.322 
s_m110_ad 	 0.708 	 0.988 	 0.280 
s_m110_af 	 0.434 	 0.598 	 0.163 
s_m110_ag 	 0.688 	 0.965 	 0.278 
s_m110_ak 	 0.638 	 0.832 	 0.193 
s_m110_aks 	 0.250 	 0.433 	 0.183 
s_m110_akt 	 0.851 	 1.009 	 0.157 
s_m110_al 	 0.433 	 0.736 	 0.304 
s_m110_alt 	 0.193 	 0.400 	 0.207 
s_m110_alv 	 0.508 	 0.796 	 0.288 
s_m110_am 	 0.300 	 0.631 	 0.331 
s_m110_an 	 0.387 	 0.669 	 0.282 
s_m110_and 	 0.191 	 0.464 	 0.273 
s_m110_ant 	 0.404 	 0.572 	 0.169 
s_m110_anz 	 0.295 	 0.612 	 0.317 
s_m110_ap 	 0.500 	 0.712 	 0.212 
s_m110_aps 	 0.185 	 0.362 	 0.177 
s_m110_apt 	 0.388 	 0.570 	 0.182 
s_m110_ar 	 0.734 	 1.099 	 0.365 
s_m110_ard 	 0.458 	 0.756 	 0.298 
s_m110_arg 	 0.091 	 0.373 	 0.283 
s_m110_ark 	 0.350 	 0.531 	 0.181 
s_m110_arm 	 0.165 	 0.437 	 0.272 
s_m110_arn 	 0.173 	 0.528 	 0.355 
s_m110_art 	 0.437 	 0.595 	 0.158 
s_m110_arxc 	 0.148 	 0.314 	 0.166 
s_m110_arxj 	 0.244 	 0.571 	 0.327 
s_m110_arz 	 0.265 	 0.609 	 0.343 
s_m110_as 	 0.595 	 0.763 	 0.168 
s_m110_at 	 0.500 	 0.681 	 0.181 
s_m110_ats 	 0.335 	 0.545 	 0.209 
s_m110_av 	 0.307 	 0.649 	 0.342 
s_m110_axc 	 0.526 	 0.735 	 0.209 
s_m110_axct 	 0.095 	 0.285 	 0.190 
s_m110_axd 	 0.112 	 0.465 	 0.353 
s_m110_axg 	 1.747 	 1.963 	 0.216 
s_m110_axj 	 0.560 	 0.886 	 0.326 
s_m110_axs 	 0.468 	 0.641 	 0.173 
s_m110_axt 	 0.547 	 0.737 	 0.190 
s_m110_axz 	 0.098 	 0.428 	 0.329 
s_m110_az 	 0.315 	 0.608 	 0.293 
s_m110_ba 	 0.491 	 0.762 	 0.271 
s_m110_bak 	 0.282 	 0.469 	 0.187 
s_m110_ban 	 0.354 	 0.672 	 0.318 
s_m110_bar 	 0.558 	 0.870 	 0.312 
s_m110_baxc 	 0.213 	 0.420 	 0.207 
s_m110_bc 	 0.352 	 0.656 	 0.304 
s_m110_bcl 	 0.282 	 0.670 	 0.388 
s_m110_bcs 	 0.331 	 0.521 	 0.190 
s_m110_bct 	 0.296 	 0.514 	 0.218 
s_m110_be 	 0.200 	 0.513 	 0.313 
s_m110_bek 	 0.701 	 0.829 	 0.128 
s_m110_ber 	 0.659 	 0.995 	 0.337 
s_m110_bes 	 0.534 	 0.697 	 0.163 
s_m110_bet 	 0.346 	 0.487 	 0.141 
s_m110_bi 	 0.903 	 1.248 	 0.345 
s_m110_bil 	 0.369 	 0.703 	 0.334 
s_m110_bin 	 0.437 	 0.708 	 0.271 
s_m110_bir 	 0.646 	 0.933 	 0.288 
s_m110_bit 	 0.927 	 1.081 	 0.154 
s_m110_bixc 	 0.690 	 0.860 	 0.171 
s_m110_biz 	 0.552 	 0.941 	 0.389 
s_m110_bla 	 0.188 	 0.627 	 0.438 
s_m110_ble 	 0.790 	 1.203 	 0.413 
s_m110_bli 	 0.726 	 1.110 	 0.384 
s_m110_blo 	 0.522 	 0.978 	 0.456 
s_m110_blu 	 0.514 	 0.841 	 0.328 
s_m110_blxa 	 0.529 	 0.769 	 0.240 
s_m110_blxe 	 0.435 	 0.780 	 0.345 
s_m110_blxi 	 0.574 	 0.813 	 0.239 
s_m110_blxq 	 0.571 	 0.908 	 0.337 
s_m110_bo 	 0.440 	 0.817 	 0.376 
s_m110_bol 	 0.181 	 0.511 	 0.330 
s_m110_bor 	 0.584 	 0.894 	 0.310 
s_m110_bot 	 0.401 	 0.582 	 0.181 
s_m110_boxt 	 0.601 	 0.852 	 0.251 
s_m110_bra 	 0.601 	 0.888 	 0.287 
s_m110_brc 	 0.208 	 0.602 	 0.394 
s_m110_bre 	 0.748 	 1.108 	 0.360 
s_m110_bri 	 0.602 	 0.956 	 0.354 
s_m110_bro 	 1.156 	 1.459 	 0.304 
s_m110_bru 	 0.272 	 0.726 	 0.454 
s_m110_brxa 	 0.276 	 0.539 	 0.263 
s_m110_brxe 	 0.518 	 0.767 	 0.249 
s_m110_brxi 	 0.431 	 0.726 	 0.294 
s_m110_brxq 	 0.341 	 0.761 	 0.421 
s_m110_brxu 	 0.259 	 0.514 	 0.256 
s_m110_brxw 	 0.481 	 0.827 	 0.346 
s_m110_brxy 	 0.245 	 0.634 	 0.388 
s_m110_bu 	 0.206 	 0.525 	 0.320 
s_m110_bun 	 0.238 	 0.503 	 0.265 
s_m110_but 	 0.391 	 0.572 	 0.181 
s_m110_bxa 	 1.171 	 1.407 	 0.236 
s_m110_bxag 	 0.605 	 0.798 	 0.193 
s_m110_bxak 	 0.854 	 0.989 	 0.135 
s_m110_bxal 	 0.282 	 0.575 	 0.293 
s_m110_bxan 	 0.695 	 0.893 	 0.198 
s_m110_bxas 	 0.721 	 0.910 	 0.188 
s_m110_bxat 	 0.341 	 0.486 	 0.145 
s_m110_bxav 	 0.437 	 0.671 	 0.234 
s_m110_bxe 	 0.310 	 0.591 	 0.281 
s_m110_bxed 	 0.751 	 0.938 	 0.186 
s_m110_bxel 	 0.552 	 0.829 	 0.278 
s_m110_bxen 	 0.602 	 0.773 	 0.171 
s_m110_bxes 	 0.749 	 0.911 	 0.162 
s_m110_bxet 	 0.802 	 0.941 	 0.140 
s_m110_bxi 	 0.199 	 0.418 	 0.219 
s_m110_bxig 	 0.779 	 0.972 	 0.193 
s_m110_bxik 	 0.230 	 0.378 	 0.148 
s_m110_bxil 	 0.441 	 0.714 	 0.273 
s_m110_bxin 	 0.591 	 0.740 	 0.149 
s_m110_bxit 	 0.403 	 0.578 	 0.175 
s_m110_bxixg 	 0.436 	 0.566 	 0.130 
s_m110_bxixj 	 0.394 	 0.568 	 0.174 
s_m110_bxiz 	 0.463 	 0.669 	 0.206 
s_m110_bxo 	 0.488 	 0.784 	 0.296 
s_m110_bxoz 	 0.200 	 0.644 	 0.444 
s_m110_bxq 	 0.300 	 0.607 	 0.308 
s_m110_bxqd 	 0.280 	 0.605 	 0.325 
s_m110_bxqg 	 0.366 	 0.676 	 0.310 
s_m110_bxqk 	 0.832 	 1.035 	 0.203 
s_m110_bxqn 	 0.266 	 0.531 	 0.265 
s_m110_bxqs 	 0.381 	 0.647 	 0.267 
s_m110_bxqxc 	 0.180 	 0.372 	 0.192 
s_m110_bxqxg 	 0.577 	 0.848 	 0.271 
s_m110_bxqxt 	 0.500 	 0.764 	 0.264 
s_m110_bxr 	 0.445 	 0.756 	 0.312 
s_m110_bxrb 	 0.509 	 0.774 	 0.265 
s_m110_bxrd 	 0.806 	 1.065 	 0.260 
s_m110_bxrg 	 0.941 	 1.193 	 0.252 
s_m110_bxrn 	 0.625 	 0.862 	 0.237 
s_m110_bxrxt 	 0.383 	 0.578 	 0.195 
s_m110_bxrz 	 0.704 	 1.052 	 0.348 
s_m110_bxu 	 0.406 	 0.618 	 0.212 
s_m110_bxuk 	 0.766 	 0.893 	 0.127 
s_m110_bxuxs 	 0.602 	 0.768 	 0.166 
s_m110_bxw 	 0.232 	 0.512 	 0.280 
s_m110_bxwn 	 0.405 	 0.709 	 0.304 
s_m110_bxwt 	 0.505 	 0.721 	 0.216 
s_m110_bxy 	 1.089 	 1.478 	 0.390 
s_m110_bxyk 	 0.304 	 0.474 	 0.170 
s_m110_byu 	 0.363 	 0.743 	 0.380 
s_m110_cb 	 0.812 	 1.075 	 0.263 
s_m110_cd 	 0.471 	 0.766 	 0.294 
s_m110_cf 	 0.157 	 0.375 	 0.218 
s_m110_cfs 	 0.941 	 1.105 	 0.164 
s_m110_cft 	 0.669 	 0.837 	 0.168 
s_m110_cg 	 0.092 	 0.397 	 0.305 
s_m110_cgz 	 0.248 	 0.519 	 0.271 
s_m110_ck 	 0.367 	 0.555 	 0.188 
s_m110_cks 	 0.426 	 0.597 	 0.171 
s_m110_ckt 	 0.372 	 0.529 	 0.157 
s_m110_cl 	 0.606 	 0.939 	 0.332 
s_m110_cld 	 0.366 	 0.701 	 0.334 
s_m110_clf 	 0.535 	 0.738 	 0.202 
s_m110_clt 	 0.208 	 0.412 	 0.204 
s_m110_clv 	 0.491 	 0.800 	 0.309 
s_m110_clz 	 0.320 	 0.724 	 0.404 
s_m110_cm 	 0.378 	 0.676 	 0.299 
s_m110_cn 	 0.547 	 0.807 	 0.260 
s_m110_cp 	 0.174 	 0.326 	 0.152 
s_m110_cs 	 0.645 	 0.890 	 0.245 
s_m110_cst 	 0.107 	 0.353 	 0.246 
s_m110_ct 	 0.400 	 0.578 	 0.178 
s_m110_cv 	 0.781 	 1.098 	 0.317 
s_m110_cxc 	 0.144 	 0.325 	 0.181 
s_m110_cxd 	 0.256 	 0.586 	 0.330 
s_m110_cxg 	 0.260 	 0.501 	 0.240 
s_m110_cxgz 	 0.200 	 0.496 	 0.296 
s_m110_cxj 	 0.232 	 0.546 	 0.314 
s_m110_cxs 	 0.543 	 0.804 	 0.261 
s_m110_cxt 	 0.228 	 0.438 	 0.210 
s_m110_cxz 	 0.134 	 0.569 	 0.435 
s_m110_cz 	 0.684 	 1.039 	 0.355 
s_m110_czd 	 0.157 	 0.523 	 0.367 
s_m110_da 	 0.146 	 0.527 	 0.381 
s_m110_dak 	 0.461 	 0.690 	 0.228 
s_m110_dap 	 0.221 	 0.466 	 0.246 
s_m110_dar 	 0.354 	 0.643 	 0.289 
s_m110_dc 	 0.373 	 0.703 	 0.330 
s_m110_dcg 	 0.449 	 0.778 	 0.329 
s_m110_dcl 	 0.415 	 0.768 	 0.353 
s_m110_dcr 	 0.359 	 0.747 	 0.388 
s_m110_de 	 0.777 	 1.149 	 0.372 
s_m110_den 	 0.390 	 0.659 	 0.268 
s_m110_det 	 0.482 	 0.704 	 0.222 
s_m110_dez 	 0.461 	 0.859 	 0.398 
s_m110_di 	 0.426 	 0.753 	 0.328 
s_m110_did 	 0.426 	 0.696 	 0.270 
s_m110_dil 	 0.320 	 0.738 	 0.419 
s_m110_dip 	 0.397 	 0.596 	 0.199 
s_m110_dir 	 0.445 	 0.770 	 0.326 
s_m110_diz 	 0.441 	 0.789 	 0.348 
s_m110_do 	 0.243 	 0.540 	 0.297 
s_m110_dop 	 0.399 	 0.643 	 0.245 
s_m110_dor 	 0.516 	 0.809 	 0.293 
s_m110_doz 	 0.516 	 0.907 	 0.390 
s_m110_dra 	 0.480 	 0.837 	 0.357 
s_m110_drc 	 0.411 	 0.824 	 0.413 
s_m110_dre 	 0.335 	 0.743 	 0.408 
s_m110_dri 	 0.733 	 1.146 	 0.413 
s_m110_dro 	 0.537 	 0.945 	 0.408 
s_m110_dru 	 0.337 	 0.820 	 0.483 
s_m110_drxa 	 0.462 	 0.820 	 0.357 
s_m110_drxe 	 0.431 	 0.740 	 0.310 
s_m110_drxi 	 0.506 	 0.845 	 0.339 
s_m110_drxq 	 0.660 	 0.660 	 0 
s_m110_drxy 	 0.439 	 0.945 	 0.506 
s_m110_du 	 0.723 	 1.024 	 0.301 
s_m110_dud 	 0.228 	 0.539 	 0.312 
s_m110_dus 	 0.351 	 0.585 	 0.234 
s_m110_dxa 	 0.617 	 0.854 	 0.236 
s_m110_dxak 	 0.954 	 1.130 	 0.176 
s_m110_dxal 	 0.917 	 1.183 	 0.265 
s_m110_dxam 	 0.388 	 0.622 	 0.234 
s_m110_dxan 	 0.595 	 0.806 	 0.211 
s_m110_dxaz 	 0.470 	 0.781 	 0.311 
s_m110_dxe 	 0.458 	 0.654 	 0.196 
s_m110_dxed 	 0.586 	 0.828 	 0.242 
s_m110_dxel 	 0.145 	 0.512 	 0.367 
s_m110_dxen 	 0.510 	 0.731 	 0.220 
s_m110_dxep 	 0.416 	 0.594 	 0.178 
s_m110_dxes 	 0.549 	 0.836 	 0.287 
s_m110_dxet 	 0.687 	 0.863 	 0.177 
s_m110_dxext 	 0.373 	 0.531 	 0.158 
s_m110_dxi 	 0.465 	 0.662 	 0.197 
s_m110_dxid 	 0.594 	 0.784 	 0.190 
s_m110_dxim 	 0.183 	 0.372 	 0.189 
s_m110_dxin 	 0.542 	 0.743 	 0.201 
s_m110_dxis 	 0.458 	 0.619 	 0.161 
s_m110_dxit 	 0.161 	 0.332 	 0.171 
s_m110_dxixg 	 0.719 	 0.913 	 0.194 
s_m110_dxixs 	 0.749 	 0.965 	 0.215 
s_m110_dxiz 	 0.293 	 0.624 	 0.332 
s_m110_dxo 	 0.828 	 1.242 	 0.415 
s_m110_dxq 	 0.619 	 1.008 	 0.389 
s_m110_dxqd 	 0.308 	 0.632 	 0.325 
s_m110_dxqn 	 0.631 	 0.903 	 0.272 
s_m110_dxr 	 1.081 	 1.437 	 0.355 
s_m110_dxrd 	 0.638 	 0.966 	 0.328 
s_m110_dxrt 	 0.563 	 0.763 	 0.200 
s_m110_dxrz 	 0.585 	 0.979 	 0.394 
s_m110_dxu 	 0.311 	 0.467 	 0.156 
s_m110_dxw 	 0.399 	 0.689 	 0.290 
s_m110_dxwn 	 0.374 	 0.704 	 0.331 
s_m110_dxwt 	 0.641 	 0.892 	 0.251 
s_m110_dxy 	 0.635 	 1.044 	 0.409 
s_m110_dxyd 	 0.558 	 0.944 	 0.386 
s_m110_dxyz 	 0.435 	 0.902 	 0.466 
s_m110_eb 	 0.267 	 0.690 	 0.423 
s_m110_ed 	 0.145 	 0.359 	 0.214 
s_m110_edz 	 0.466 	 0.724 	 0.259 
s_m110_ef 	 0.146 	 0.367 	 0.220 
s_m110_eg 	 0.418 	 0.763 	 0.345 
s_m110_ek 	 0.018 	 0.215 	 0.197 
s_m110_eks 	 0.418 	 0.550 	 0.132 
s_m110_el 	 0.390 	 0.698 	 0.308 
s_m110_eld 	 0.286 	 0.603 	 0.317 
s_m110_elz 	 0.313 	 0.694 	 0.381 
s_m110_em 	 0.325 	 0.594 	 0.269 
s_m110_emd 	 0.388 	 0.662 	 0.274 
s_m110_emz 	 0.541 	 0.815 	 0.274 
s_m110_en 	 0.443 	 0.737 	 0.295 
s_m110_end 	 0.464 	 0.774 	 0.310 
s_m110_ent 	 0.507 	 0.646 	 0.139 
s_m110_enxj 	 0.176 	 0.513 	 0.338 
s_m110_enz 	 0.317 	 0.641 	 0.324 
s_m110_ep 	 0.373 	 0.543 	 0.170 
s_m110_eps 	 0.539 	 0.737 	 0.198 
s_m110_er 	 0.434 	 0.752 	 0.317 
s_m110_erd 	 0.282 	 0.626 	 0.344 
s_m110_erz 	 0.413 	 0.863 	 0.450 
s_m110_es 	 0.272 	 0.527 	 0.256 
s_m110_est 	 0.222 	 0.408 	 0.186 
s_m110_et 	 0.084 	 0.318 	 0.233 
s_m110_ets 	 0.718 	 0.933 	 0.214 
s_m110_ev 	 0.212 	 0.689 	 0.477 
s_m110_evd 	 0.223 	 0.539 	 0.316 
s_m110_evz 	 0.533 	 0.838 	 0.305 
s_m110_exc 	 0.503 	 0.683 	 0.180 
s_m110_exd 	 0.210 	 0.586 	 0.377 
s_m110_exg 	 0.221 	 0.510 	 0.289 
s_m110_exj 	 0.609 	 0.971 	 0.362 
s_m110_exs 	 0.203 	 0.442 	 0.239 
s_m110_ext 	 0.537 	 0.736 	 0.198 
s_m110_exz 	 0.226 	 0.613 	 0.387 
s_m110_ez 	 0.589 	 0.973 	 0.385 
s_m110_ezd 	 0.587 	 0.992 	 0.405 
s_m110_fa 	 0.364 	 0.643 	 0.279 
s_m110_far 	 0.750 	 1.086 	 0.336 
s_m110_fc 	 0.328 	 0.714 	 0.386 
s_m110_fcl 	 0.430 	 0.731 	 0.301 
s_m110_fe 	 0.447 	 0.750 	 0.303 
s_m110_fek 	 0.294 	 0.461 	 0.167 
s_m110_fel 	 0.281 	 0.660 	 0.379 
s_m110_fen 	 0.326 	 0.556 	 0.230 
s_m110_fer 	 0.872 	 1.275 	 0.402 
s_m110_fes 	 0.391 	 0.587 	 0.196 
s_m110_fi 	 0.550 	 0.911 	 0.360 
s_m110_fid 	 0.767 	 1.031 	 0.264 
s_m110_fil 	 0.443 	 0.838 	 0.395 
s_m110_fir 	 0.784 	 1.219 	 0.436 
s_m110_fit 	 1.104 	 1.266 	 0.162 
s_m110_flc 	 0.315 	 0.832 	 0.517 
s_m110_fle 	 0.724 	 1.116 	 0.393 
s_m110_fli 	 0.276 	 0.622 	 0.346 
s_m110_flo 	 0.336 	 0.709 	 0.374 
s_m110_flu 	 0.414 	 0.754 	 0.340 
s_m110_flxa 	 0.765 	 0.984 	 0.219 
s_m110_flxe 	 0.457 	 0.744 	 0.287 
s_m110_flxi 	 0.342 	 0.620 	 0.277 
s_m110_flxq 	 0.752 	 1.068 	 0.316 
s_m110_flxw 	 0.111 	 0.657 	 0.547 
s_m110_flxy 	 0.577 	 1.019 	 0.442 
s_m110_fo 	 0.584 	 0.922 	 0.338 
s_m110_fok 	 0.487 	 0.673 	 0.186 
s_m110_fom 	 0.182 	 0.467 	 0.285 
s_m110_fon 	 0.492 	 0.814 	 0.321 
s_m110_for 	 1.108 	 1.544 	 0.436 
s_m110_fre 	 0.804 	 1.161 	 0.357 
s_m110_fri 	 0.710 	 1.101 	 0.391 
s_m110_fru 	 0.351 	 0.698 	 0.347 
s_m110_frxa 	 0.320 	 0.589 	 0.268 
s_m110_frxe 	 0.391 	 0.656 	 0.265 
s_m110_frxi 	 0.357 	 0.651 	 0.294 
s_m110_frxq 	 0.478 	 0.784 	 0.306 
s_m110_frxw 	 0.208 	 0.593 	 0.385 
s_m110_frxy 	 0.678 	 1.167 	 0.489 
s_m110_fu 	 0.316 	 0.705 	 0.389 
s_m110_fud 	 0.996 	 1.268 	 0.272 
s_m110_fxa 	 0.672 	 0.959 	 0.288 
s_m110_fxan 	 0.607 	 0.876 	 0.268 
s_m110_fxe 	 0.328 	 0.591 	 0.263 
s_m110_fxek 	 0.678 	 0.815 	 0.137 
